hash,texto
3d2c1ea034eaab5c17bfa660ba9dc43a,7
5ef8f1f1cb3aa42bbaa659f6d1d53a30,3.4
66d3f434d55bba060808222354c79fe3,3.2
efabdc93e5c0a1afb7049b722c69a38d,4.3
80af137511460672b87903f919aab9c8,3.9
698421392d578dca56b920e8591c2f82,3.9
af3e0aad8dc5511022d357524f009b17,4.4
b4f3fa3918f6950438693cac39c8b89f,3
a23f8935c29e1a53ed7084ab3c504142,4.9
eb5572d5353fb1e0f0bb728eba87bb4f,
672d642c3846a2c4bc7e079659ea3c70,2.0
89979ef0b8bf0a1f1e3ae96e78c02f26,
8d34a2371f17c7865e82352923f1b671,4.9
257e8a84f0cf62356168d20d3180f7ef,4.6
d80347d33033bc80147afa09e816bcd8,3.8
588e0dc2768b067c152ada28bc3c50e4,3.3
aa7a6dadffe6882c18bfbbb6710d113a,4.5
8ceebd1e04f3301b5161f32b41c988dc,4.3
e8f574cdcd73c1f5716fcfaff704993a,3
9599d8186dd712ec19ef8dea87aaba4a,2.6
0a9efc6d5f4663f9a8de60ccbe0c34ed,4.5
0a01034a33a186d5df549c3be4ed181e,4.3
78e8ba6a0a6389ca7fe149876f99f3c8,4.3
2d5ba0fb722b085521aacd77d287d133,4.3
144fad99d57a456536965a398a1343ca,4.2
88e0b5312f8b1e2ceec5a34495250a84,3.8
9e267d5509e72ae02affc565db24ca6d,4.3
4576e6307f8e9694e81d2718f8c21da7,2.0
eb6f44af55244e9d04a836ad3c2336e0,3.5
ee65be44c0b272c135a7b6cfe3f344fe,2.3
217a50688c2328332fb58788f1e82add,
c0f1646afe2f29247f80255d4f565de3,4.1
d0779787e339b9faa0ee2e6cf47b34b3,3.9
de0c7d7ede2c27b468cb4906f20ed89d,17
158c9bc4b6dc5552d3ffdbcfcd3f3386,4.9
ab3aa6fcb9e67bf21de19c3bfbd54583,4.
124072104e967609795a7c005a230813,4.9
937cb9cdfa2a330c094b2047b4c6589f,3.9
1aa5aef07105ea8648e3d0998f262879,1
d058aea84345b012afc3d022cd4f354d,4.2
